Disease Name,Bad Ingredients,Safe Nutrients,Bad Nutrients,Bad Nutrients Safe Limits (mg/g)
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods","Magnesium, Potassium",Fat,Fat: 100 g
Liver Cirrhosis,"alcohol, fried foods, red meat","Omega-3, Magnesium, Vitamin C","Saturated Fat, Caffeine, Sugar","Saturated Fat: 20 g, Caffeine: 100 mg, Sugar: 36 g"
Coronary Artery Disease,"trans fats, red meat, sugary foods","Potassium, Vitamin C, Magnesium",Alcohol,Alcohol: 100 g
Celiac Disease,"wheat, barley, rye",Vitamin C,"Fat, Carbohydrates","Fat: 100 g, Carbohydrates: 100 g"
Metabolic Syndrome,"red meat, fried food, sugar",Magnesium,Cholesterol,Cholesterol: 300 mg
Type 2 Diabetes - Stage 3,"sugar, white rice, soda, sweets","Antioxidants, Fiber",Cholesterol,Cholesterol: 300 mg
Atherosclerosis - Stage 2,"red meat, fried food, sugar","Vitamin C, Fiber","Carbohydrates, Saturated Fat, Alcohol","Carbohydrates: 100 g, Saturated Fat: 20 g, Alcohol: 100 g"
Type 2 Diabetes - Stage 2,"sugar, white rice, soda, sweets","Vitamin C, Antioxidants",Sugar,Sugar: 36 g
Irritable Bowel Syndrome,"red meat, fried food, sugar","Vitamin C, Magnesium, Potassium",Sodium,Sodium: 2300 mg
Gout - Stage 2,"mutton, chicken, alcohol, organ meats","Omega-3, Antioxidants","Saturated Fat, Alcohol, Calories","Saturated Fat: 20 g, Alcohol: 100 g, Calories: 800 kcal"
Irritable Bowel Syndrome - Stage 3,"red meat, fried food, sugar","Omega-3, Vitamin C","Caffeine, Alcohol, Sodium, Sugar","Caffeine: 100 mg, Alcohol: 100 g, Sodium: 2300 mg, Sugar: 36 g"
Fatty Liver Disease - Stage 3,"alcohol, fried foods, red meat","Omega-3, Antioxidants, Vitamin C","Cholesterol, Carbohydrates, Saturated Fat","Cholesterol: 300 mg, Carbohydrates: 100 g, Saturated Fat: 20 g"
Coronary Artery Disease - Stage 3,"trans fats, red meat, sugary foods","Antioxidants, Magnesium","Calories, Caffeine","Calories: 800 kcal, Caffeine: 100 mg"
Chronic Kidney Disease - Stage 1,"red meat, sodium, potassium-rich foods","Antioxidants, Potassium","Alcohol, Sodium, Carbohydrates, Fat","Alcohol: 100 g, Sodium: 2300 mg, Carbohydrates: 100 g, Fat: 100 g"
Sleep Apnea,"red meat, fried food, sugar","Potassium, Vitamin C","Fat, Carbohydrates, Caffeine","Fat: 100 g, Carbohydrates: 100 g, Caffeine: 100 mg"
Coronary Artery Disease - Stage 1,"trans fats, red meat, sugary foods","Fiber, Omega-3, Antioxidants","Cholesterol, Fat, Sodium, Calories","Cholesterol: 300 mg, Fat: 100 g, Sodium: 2300 mg, Calories: 800 kcal"
Hypertension,"salt, pickles, canned soup, bacon","Potassium, Fiber","Fat, Sugar","Fat: 100 g, Sugar: 36 g"
Hypertension,"salt, pickles, canned soup, bacon",Potassium,"Sodium, Caffeine","Sodium: 2300 mg, Caffeine: 100 mg"
Metabolic Syndrome - Stage 3,"red meat, fried food, sugar","Vitamin C, Fiber","Alcohol, Fat, Calories, Cholesterol","Alcohol: 100 g, Fat: 100 g, Calories: 800 kcal, Cholesterol: 300 mg"
Hyperlipidemia,"red meat, fried food, sugar",Potassium,Sugar,Sugar: 36 g
Fatty Liver Disease - Stage 1,"alcohol, fried foods, red meat","Omega-3, Fiber, Antioxidants","Saturated Fat, Calories, Caffeine, Sugar","Saturated Fat: 20 g, Calories: 800 kcal, Caffeine: 100 mg, Sugar: 36 g"
Type 2 Diabetes,"sugar, white rice, soda, sweets",Vitamin C,"Sugar, Fat, Saturated Fat, Calories","Sugar: 36 g, Fat: 100 g, Saturated Fat: 20 g, Calories: 800 kcal"
Type 2 Diabetes,"sugar, white rice, soda, sweets","Antioxidants, Omega-3","Carbohydrates, Sugar, Sodium","Carbohydrates: 100 g, Sugar: 36 g, Sodium: 2300 mg"
Hypertension - Stage 3,"salt, pickles, canned soup, bacon",Vitamin C,"Saturated Fat, Caffeine, Alcohol, Fat","Saturated Fat: 20 g, Caffeine: 100 mg, Alcohol: 100 g, Fat: 100 g"
Obesity - Stage 2,"junk food, soda, sweets, fried items","Fiber, Magnesium","Fat, Cholesterol, Sugar, Alcohol","Fat: 100 g, Cholesterol: 300 mg, Sugar: 36 g, Alcohol: 100 g"
Irritable Bowel Syndrome - Stage 2,"red meat, fried food, sugar","Potassium, Omega-3, Fiber","Saturated Fat, Sodium, Sugar","Saturated Fat: 20 g, Sodium: 2300 mg, Sugar: 36 g"
Gout - Stage 1,"mutton, chicken, alcohol, organ meats","Omega-3, Vitamin C","Sugar, Cholesterol","Sugar: 36 g, Cholesterol: 300 mg"
Sleep Apnea - Stage 1,"red meat, fried food, sugar",Potassium,"Saturated Fat, Cholesterol, Calories, Fat","Saturated Fat: 20 g, Cholesterol: 300 mg, Calories: 800 kcal, Fat: 100 g"
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods","Potassium, Fiber",Sodium,Sodium: 2300 mg
Hypothyroidism,"red meat, fried food, sugar",Vitamin C,Caffeine,Caffeine: 100 mg
Irritable Bowel Syndrome - Stage 2,"red meat, fried food, sugar",Potassium,"Carbohydrates, Alcohol, Cholesterol","Carbohydrates: 100 g, Alcohol: 100 g, Cholesterol: 300 mg"
Atherosclerosis,"red meat, fried food, sugar",Omega-3,Fat,Fat: 100 g
Atherosclerosis,"red meat, fried food, sugar",Omega-3,Carbohydrates,Carbohydrates: 100 g
Migraine - Stage 2,"red meat, fried food, sugar",Antioxidants,Caffeine,Caffeine: 100 mg
Liver Cirrhosis,"alcohol, fried foods, red meat","Magnesium, Potassium, Fiber","Carbohydrates, Saturated Fat","Carbohydrates: 100 g, Saturated Fat: 20 g"
Hyperlipidemia - Stage 3,"red meat, fried food, sugar","Fiber, Omega-3",Saturated Fat,Saturated Fat: 20 g
Metabolic Syndrome - Stage 2,"red meat, fried food, sugar","Magnesium, Potassium, Vitamin C","Fat, Cholesterol, Sugar, Alcohol","Fat: 100 g, Cholesterol: 300 mg, Sugar: 36 g, Alcohol: 100 g"
Hypothyroidism,"red meat, fried food, sugar","Magnesium, Omega-3, Potassium",Carbohydrates,Carbohydrates: 100 g
