Product Name,Category,Quantity,Original Price (Rs.),Discount,Discounted Price (Rs.)
Coriander Leaves With Roots - Enhances Flavour Of The Dishes,fruits-vegetables,100 g,10.918,6% OFF,10.3
Onion (Loose),fruits-vegetables,2 kg,64.07,49% OFF,43
Potato - Fresh Crop,fruits-vegetables,1 kg,48.26,27% OFF,38
Carrot - Orange (Loose),fruits-vegetables,1 kg,65.12,48% OFF,44
Potato,fruits-vegetables,1 kg,47.26,39% OFF,34
Tomato - Local,fruits-vegetables,2 x 1 kg - Multipack,79.515,35% OFF,58.9
Coriander Leaves,fruits-vegetables,100 g,12.7,27% OFF,10
Ladies' Fingers (Loose),fruits-vegetables,500 g,26.24,64% OFF,16
Cucumber (Loose),fruits-vegetables,1 kg,55.77,43% OFF,39
Carrot - Red,fruits-vegetables,500 g,29.21,27% OFF,23
Tomato - Hybrid (Loose),fruits-vegetables,500 g,15.8,58% OFF,10
Beans - Haricot (Loose),fruits-vegetables,500 g,74.88,56% OFF,48
Capsicum - Green (Loose),fruits-vegetables,500 g,58.855,49% OFF,39.5
Beetroot (Loose),fruits-vegetables,1 kg,56.8,42% OFF,40
"Palak - Cleaned, without roots",fruits-vegetables,250 g,12.33,0% off,12.33
Cauliflower,fruits-vegetables,1 pc - (approx. 400 to 600 g),30.03,43% OFF,21
Mushrooms - Button,fruits-vegetables,1 pack - (Approx. 180g - 200 g),67.9,40% OFF,48.5
"Chilli - Green, Organically Grown",fruits-vegetables,500 g,104.14,27% OFF,82
Cucumber - English (Loose),fruits-vegetables,1 kg,68.2,55% OFF,44
Drumstick/Moringa,fruits-vegetables,1 kg,91.44,27% OFF,72
Curry Leaves,fruits-vegetables,1 kg,283.21,27% OFF,223
Cabbage,fruits-vegetables,1 pc - (approx. 500 g to 800 g),39.6,32% OFF,30
Onion - Organically Grown (Loose),fruits-vegetables,1 kg,39.6,44% OFF,27.5
Bottle Gourd (Loose),fruits-vegetables,1 pc - (Approx. 500 g - 800 g),32.56,48% OFF,22
Ridge Gourd,fruits-vegetables,1 kg,73.5,47% OFF,50
Sweet Corn (Loose),fruits-vegetables,2 pcs,70.4596,27% OFF,55.48
Green Peas (Loose),fruits-vegetables,1 kg,211.2,28% OFF,165
Brinjal - Varikatri (Loose),fruits-vegetables,500 g,27.675,35% OFF,20.5
Bitter Gourd (Loose),fruits-vegetables,1 kg,73.66,27% OFF,58
Brinjal - Bottle Shape (Loose),fruits-vegetables,1 kg,71.04,48% OFF,48
Lettuce - Iceberg,fruits-vegetables,1 pc - (Approx. 250g-500g),33.02,27% OFF,26
Pumpkin Green - Cut,fruits-vegetables,500 g,58.42,27% OFF,46
Onion - Sambhar (Loose),fruits-vegetables,1 kg,100.33,27% OFF,79
Carrot - Ooty (Loose),fruits-vegetables,1 kg,176.53,27% OFF,139
Ash Gourd - Cut,fruits-vegetables,500 g,55.88,27% OFF,44
"Beans - French, Ring (Loose)",fruits-vegetables,1 kg,128.64,34% OFF,96
Ladies' Fingers - Organically Grown (Loose),fruits-vegetables,1 kg,68.64,43% OFF,48
Yam - Diced,fruits-vegetables,200 g,62.23,27% OFF,49
"Cut Cauliflower, Washed",fruits-vegetables,300 g,48.26,27% OFF,38
Beans - Diced,fruits-vegetables,200 g,67.31,27% OFF,53
Carrot Strips and Beans Strip,fruits-vegetables,200 g,52.07,27% OFF,41
Methi - Chopped,fruits-vegetables,200 g,68.58,27% OFF,54
Coriander 1 pc,fruits-vegetables,1 pc - (approx. 80-100g),6.02,72% OFF,3.5
Potato,fruits-vegetables,2 kg,73.84,42% OFF,52
Potato - Chandramukhi,fruits-vegetables,1 kg,35.75,43% OFF,25
Ooty Beetroot,fruits-vegetables,1 kg,128,28% OFF,100
Cauliflower - Small,fruits-vegetables,1 pc - (Approx. 300 - 500 g),29.21,27% OFF,23
"Brinjal - Purple, Bharta",fruits-vegetables,500 g,26.24,64% OFF,16
Potato - Jyoti,fruits-vegetables,1 kg,35.56,27% OFF,28
Watermelon  - Small,fruits-vegetables,1 pc - 1.7 - 2.5 kg,105.07,33% OFF,79
Tender Coconut,fruits-vegetables,1 pc,61.57,31% OFF,47
Strawberry,fruits-vegetables,200 g,92.235,29% OFF,71.5
"Orange - Nagpur, Regular",fruits-vegetables,3 x 1 kg - Multipack,348.3,29% OFF,270
Banana - Yelakki,fruits-vegetables,500 g,35.62,37% OFF,26
Banana - Robusta,fruits-vegetables,1 kg,55.65,59% OFF,35
Mango Alphonso (Ratnagiri) - Organic,fruits-vegetables,6 pcs,416.2679,27% OFF,327.77
Baby Orange - Nagpur,fruits-vegetables,1 kg - Approx (8-10 pcs),90.17,27% OFF,71
Apple - Royal Gala Economy,fruits-vegetables,4 pcs - Approx.450 g - 500 g,203.52,28% OFF,159
Pomegranate - Regular,fruits-vegetables,1 kg - (5-6 pcs per kg),207.7,34% OFF,155
Coconut - Medium,fruits-vegetables,1 pc - (approx. 450g to 500),39.15,45% OFF,27
Baby Apple Shimla,fruits-vegetables,1 kg - (Approx. 11-12 pcs),222.6,40% OFF,159
Blueberry,fruits-vegetables,125 g,284.05,30% OFF,218.5
"Apple - Royal Gala, Regular",fruits-vegetables,2x4 pcs - Multipack,448.38,41% OFF,318
"Mango - Raw, Totapuri",fruits-vegetables,500 g,43.18,27% OFF,34
Kiwi - Green,fruits-vegetables,3 pcs - Approx. 220 g - 260 g,130.05,53% OFF,85
Dragon Fruit (Loose),fruits-vegetables,1 pc - Approx. 300 g - 400 g,98.04,29% OFF,76
Pomegranate,fruits-vegetables,4 pcs - (Approx. 800 g - 880 g),306.56,28% OFF,239.5
"Apple - Red Delicious / Washington, Regular",fruits-vegetables,2x4 pcs,403.86,27% OFF,318
Banana - Nendran,fruits-vegetables,1 kg,115.28,31% OFF,88
Mini Orange Imported,fruits-vegetables,1 kg,281.6,28% OFF,220
Guava (Loose),fruits-vegetables,1 kg,167.7,29% OFF,130
"Pear - Green, Imported",fruits-vegetables,3x2 pcs - Multipack,483.8573,27% OFF,380.99
Mosambi - Economy,fruits-vegetables,2 kg,189.23,27% OFF,149
"Avocado - Imported, Medium (Loose)",fruits-vegetables,1 pc - Approx. 200 g,104.14,27% OFF,82
Papaya,fruits-vegetables,1 kg,92.235,29% OFF,71.5
Baby Banana - Robusta,fruits-vegetables,500 g - (4-6 pcs),32.4,35% OFF,24
"Apple - Shimla, Regular",fruits-vegetables,2x4 pcs - Multipack,408.94,27% OFF,322
"Apple - Royal Gala, Premium",fruits-vegetables,2x4 pcs - (Multipack),523.24,27% OFF,412
"Dates - Kimia, with Seed",fruits-vegetables,1 pc - (Approx. 400 to 500g),268.65,35% OFF,199
"Apple - Shimla, Premium",fruits-vegetables,2x4 pcs - Multipack,487.6673,27% OFF,383.99
Pomegranate - Premium,fruits-vegetables,2 pcs - (220-250 g per pc),229.12,28% OFF,179
Banana - Red,fruits-vegetables,1 kg,90.86,54% OFF,59
Apple - Pink Lady,fruits-vegetables,4 pcs - Approx .550 g - 650 g,378.46,27% OFF,298
Orange - Imported (Loose),fruits-vegetables,6 pcs - Approx. 900 g - 1000 g,133.11,53% OFF,87
Guava - Thai,fruits-vegetables,1 pc,43.5229,27% OFF,34.27
"Apple - Red Delicious / Washington, Premium",fruits-vegetables,2x4 pcs - Multipack,525.78,27% OFF,414
Orange - Imported (Loose),fruits-vegetables,4 pcs - Approx. 600 g - 700 g,190.72,28% OFF,149
Mosambi (Loose),fruits-vegetables,6 pcs - 800 gm - 1 kg,97.98,42% OFF,69
Coconut - Diced,fruits-vegetables,150 g,62.23,27% OFF,49
Papaya - Small,fruits-vegetables,1 pc - 500 g - 800 g,53.721,27% OFF,42.3
"Orange - Nagpur, Small (Loose)",fruits-vegetables,2 kg,135.89,27% OFF,107
"Apple - Shimla, Economy",fruits-vegetables,1 kg - (Approx. 13-14 pcs),240.03,27% OFF,189
"Apple - Red Delicious, Economy",fruits-vegetables,4 pcs - Approx. 450 g - 500 g,198.12,27% OFF,156
Papaya - Medium,fruits-vegetables,1 pc - 800g - 1.4 kg,82.01,39% OFF,59
Grapes - Red Globe,fruits-vegetables,1 kg,699.77,27% OFF,551
Blueberry,fruits-vegetables,125 g,209.55,27% OFF,165
Banana - Yelakki,fruits-vegetables,6 pcs,58.42,27% OFF,46
Baby Apple Shimla,fruits-vegetables,1 kg - (Approx. 8 - 10 pcs),321.2,46% OFF,220
"Apple - Shimla, Regular",fruits-vegetables,4 pcs - (Approx. 640-720 g),293.12,28% OFF,229
Tender Coconut - Small,fruits-vegetables,1 pc,85.2424,27% OFF,67.12
Strawberry,fruits-vegetables,200 g,92.235,29% OFF,71.5
Mushrooms - Button,fruits-vegetables,1 pack - (Approx. 180g - 200 g),67.9,40% OFF,48.5
Broccoli,fruits-vegetables,1 pc - (Approx. 250g-500g),51.09,31% OFF,39
Cucumber - English (Loose),fruits-vegetables,1 kg,68.2,55% OFF,44
Blueberry,fruits-vegetables,125 g,284.05,30% OFF,218.5
Kiwi - Green,fruits-vegetables,3 pcs - Approx. 220 g - 260 g,130.05,53% OFF,85
Dragon Fruit (Loose),fruits-vegetables,1 pc - Approx. 300 g - 400 g,98.04,29% OFF,76
Sweet Corn (Loose),fruits-vegetables,2 pcs,70.4596,27% OFF,55.48
"Pear - Green, Imported",fruits-vegetables,3x2 pcs - Multipack,483.8573,27% OFF,380.99
"Avocado - Imported, Medium (Loose)",fruits-vegetables,1 pc - Approx. 200 g,104.14,27% OFF,82
Lettuce - Iceberg,fruits-vegetables,1 pc - (Approx. 250g-500g),33.02,27% OFF,26
Baby Corn - Peeled,fruits-vegetables,500 g,186.69,27% OFF,147
Guava - Thai,fruits-vegetables,1 pc,43.5229,27% OFF,34.27
Broccoli - Florets,fruits-vegetables,200 g,85.09,27% OFF,67
Avocado Imported - Small,fruits-vegetables,1 pc - Approx. 120 g - 160 g,103.2,29% OFF,80
Grapes - Red Globe,fruits-vegetables,1 kg,699.77,27% OFF,551
Blueberry,fruits-vegetables,125 g,209.55,27% OFF,165
Dragon Fruit - Red Flesh,fruits-vegetables,1 pc,166.37,27% OFF,131
Broccoli,fruits-vegetables,1 pc - (Approx. 100g-300g),63.535,31% OFF,48.5
Grapes - Black Seedless,fruits-vegetables,500 g,101.6,27% OFF,80
Avocado (Loose),fruits-vegetables,1 kg,495.3,27% OFF,390
"Capsicum - Green, Organically Grown (Loose)",fruits-vegetables,250 g,25.5,50% OFF,17
Mint - Organically Grown,fruits-vegetables,1 kg,91.44,27% OFF,72
Fresh Figs,fruits-vegetables,1 kg,215.9,27% OFF,170
Grapes - Bangalore Blue,fruits-vegetables,1 kg,104.14,27% OFF,82
Sweet Potato - Organically Grown (Loose),fruits-vegetables,1 kg,83.82,27% OFF,66
Dill Leaves,fruits-vegetables,1 kg,167.64,27% OFF,132
English Cucumber - Organically grown (Loose),fruits-vegetables,1 kg,66.44,51% OFF,44
Baby Potato (Loose),fruits-vegetables,1 kg,63.5,27% OFF,50
Tomato - Cherry,fruits-vegetables,1 kg,139.065,27% OFF,109.5
Passion Fruit,fruits-vegetables,1 kg,424.18,27% OFF,334
Rosemary,fruits-vegetables,10 g,17.78,27% OFF,14
Lettuce - Green,fruits-vegetables,1 kg,166.37,27% OFF,131
Longan,fruits-vegetables,1 kg,434.34,27% OFF,342
"Amaranthus - Red Cleaned, without roots",fruits-vegetables,1 kg,171.45,27% OFF,135
"Jackfruit - Cut, Raw",fruits-vegetables,200 g,74.93,27% OFF,59
Grapes - Red Globe  Indian,fruits-vegetables,500 g,135.89,27% OFF,107
"Capsicum - Red, Organically Grown (Loose)",fruits-vegetables,1 pc,27.305,27% OFF,21.5
Zucchini - Green,fruits-vegetables,2 pcs Approx (300-400g),87.63,27% OFF,69
Lemon Grass,fruits-vegetables,100 g,13.97,27% OFF,11
Soursop,fruits-vegetables,1 pc - 400 - 800g,110.49,27% OFF,87
"Capsicum - Yellow, Organically Grown (Loose)",fruits-vegetables,1 pc,33.02,27% OFF,26
Baby Corn - Unpeeled (Loose),fruits-vegetables,1 kg,48.26,27% OFF,38
Celery,fruits-vegetables,1 kg,149.86,27% OFF,118
Cherry - Imported,fruits-vegetables,250 g,807.085,27% OFF,635.5
Cape Gooseberry,fruits-vegetables,500 g,162.56,27% OFF,128
Lettuce - Romaine,fruits-vegetables,500 g,63.5,27% OFF,50
Zucchini - Yellow,fruits-vegetables,2 pcs Approx (300-400g),86.36,27% OFF,68
Coriander Leaves,fruits-vegetables,100 g,12.7,27% OFF,10
Lemon (Loose),fruits-vegetables,100 g,23.84,60% OFF,14.9
Garlic - Peeled,fruits-vegetables,200 g,97.79,27% OFF,77
"Chilli - Green, Organically Grown",fruits-vegetables,500 g,104.14,27% OFF,82
Garlic (Loose),fruits-vegetables,1 kg,377.6,28% OFF,295
Ginger (Loose),fruits-vegetables,1 kg,239.7,41% OFF,170
Curry Leaves,fruits-vegetables,1 kg,283.21,27% OFF,223
"Chilli - Green Long, Medium (Loose)",fruits-vegetables,1 kg,194.31,27% OFF,153
Lemon,fruits-vegetables,6 pcs,211.2,60% OFF,132
Ginger - Organically Grown (Loose),fruits-vegetables,250 g,60.775,43% OFF,42.5
Dill Leaves,fruits-vegetables,1 kg,167.64,27% OFF,132
Chilli - Green Small (Loose),fruits-vegetables,500 g,120.65,27% OFF,95
Lemon Grass,fruits-vegetables,100 g,13.97,27% OFF,11
Celery,fruits-vegetables,1 kg,149.86,27% OFF,118
"Chilli - Bajji, Mild (Loose)",fruits-vegetables,1 kg,104.14,27% OFF,82
Garlic - Organically Grown (Loose),fruits-vegetables,100 g,38.94,32% OFF,29.5
"Basil - Thai, Sweet",fruits-vegetables,10 g,40.64,27% OFF,32
